,App,Category,Rating,Reviews,Size,Installs,Type,Price,ContentRating,Genres,LastUpdated,CurrentVer,AndroidVer,cat_ART_AND_DESIGN,cat_AUTO_AND_VEHICLES,cat_BEAUTY,cat_BOOKS_AND_REFERENCE,cat_BUSINESS,cat_COMICS,cat_COMMUNICATION,cat_DATING,cat_EDUCATION,cat_ENTERTAINMENT,cat_EVENTS,cat_FAMILY,cat_FINANCE,cat_FOOD_AND_DRINK,cat_GAME,cat_HEALTH_AND_FITNESS,cat_HOUSE_AND_HOME,cat_LIBRARIES_AND_DEMO,cat_LIFESTYLE,cat_MAPS_AND_NAVIGATION,cat_MEDICAL,cat_NEWS_AND_MAGAZINES,cat_PARENTING,cat_PERSONALIZATION,cat_PHOTOGRAPHY,cat_PRODUCTIVITY,cat_SHOPPING,cat_SOCIAL,cat_SPORTS,cat_TOOLS,cat_TRAVEL_AND_LOCAL,cat_VIDEO_PLAYERS,cat_WEATHER
17,47,ART_AND_DESIGN,4.5,27,17,10000,1,0,1,Art & Design,7-Nov-17,1,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3618,ART_AND_DESIGN,4.3,194216,39,5000000,1,0,1,Art & Design,3-Aug-18,2.2.5,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8059,ART_AND_DESIGN,4.6,224399,31,10000000,1,0,1,Art & Design,30-Jul-18,5.5.4,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4836,ART_AND_DESIGN,4.0,450,14,100000,1,0,1,Art & Design,20-Apr-18,4,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1420,ART_AND_DESIGN,4.1,654,12,100000,1,0,1,Art & Design,20-Mar-18,1.1,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6851,ART_AND_DESIGN,4.7,7699,4.2,500000,1,0,2,Art & Design,12-Jul-18,2.2.6.2,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4095,ART_AND_DESIGN,4.7,118,23,50000,1,0,1,Art & Design,7-Jul-18,1.1.3,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4169,ART_AND_DESIGN,4.8,192,6.0,10000,1,0,1,Art & Design,25-Apr-18,1.5,3.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2128,ART_AND_DESIGN,4.7,20260,25,500000,1,0,1,Art & Design;Creativity,11-Oct-17,1.0.8,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,611,ART_AND_DESIGN,4.1,203,6.1,100000,1,0,1,Art & Design,21-Mar-18,1.03,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5764,ART_AND_DESIGN,3.9,136,4.6,10000,1,0,1,Art & Design,12-Jul-18,6,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3096,ART_AND_DESIGN,4.1,223,4.2,100000,1,0,1,Art & Design,22-Aug-17,1,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5849,ART_AND_DESIGN,4.2,1120,9.2,100000,1,0,1,Art & Design,12-Jul-18,6.7.12.2018,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,679,ART_AND_DESIGN,4.1,227,5.2,50000,1,0,1,Art & Design,31-May-18,1.2,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,615,ART_AND_DESIGN,4.5,5035,11,100000,1,0,1,Art & Design,19-Jul-18,2.2,4.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3095,ART_AND_DESIGN,4.2,1015,11,100000,1,0,1,Art & Design,6-Jan-18,1.1.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4337,ART_AND_DESIGN,4.7,353,4.2,10000,1,0,4,Art & Design,27-Apr-18,1.6,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4302,ART_AND_DESIGN,3.8,564,9.2,100000,1,0,1,Art & Design,11-Jul-18,2.1,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7342,ART_AND_DESIGN,4.7,8145,24,500000,1,0,1,Art & Design;Creativity,2-Aug-18,1.0.9,4.4 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5697,ART_AND_DESIGN,4.7,158,11,10000,1,0,1,Art & Design,29-Nov-17,1.3,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4295,ART_AND_DESIGN,4.0,591,9.4,500000,1,0,1,Art & Design,31-Mar-18,1,4.0 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2814,ART_AND_DESIGN,4.2,117,15,10000,1,0,1,Art & Design,20-Jul-18,2.0.1,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6390,ART_AND_DESIGN,4.5,176,10,100000,1,0,1,Art & Design,2-Apr-18,1,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5726,ART_AND_DESIGN,3.8,2206,1.2,100000,1,0,1,Art & Design;Creativity,15-Apr-18,1.46,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,5935,ART_AND_DESIGN,4.2,26,12,10000,1,0,1,Art & Design,3-Jan-18,1.0.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1902,ART_AND_DESIGN,4.7,174531,24,10000000,1,0,1,Art & Design,31-Jul-18,1.6.1,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4422,ART_AND_DESIGN,4.6,1070,26,100000,1,0,1,Art & Design,14-Nov-17,1.6,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4808,ART_AND_DESIGN,4.2,85,8.0,100000,1,0,1,Art & Design,17-Dec-17,2.0.0,4.1 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4296,ART_AND_DESIGN,4.3,845,7.9,100000,1,0,1,Art & Design,28-May-18,1,2.3 and up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5211,AUTO_AND_VEHICLES,4.2,367,25,100000,1,0,1,Auto & Vehicles,10-May-18,1,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6177,AUTO_AND_VEHICLES,4.0,1598,56,1000000,1,0,1,Auto & Vehicles,26-Jul-18,11,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7373,AUTO_AND_VEHICLES,3.8,284,57,100000,1,0,1,Auto & Vehicles,26-Jul-18,3,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,568,AUTO_AND_VEHICLES,3.9,129,35,100000,1,0,1,Auto & Vehicles,26-Jul-18,3,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5596,AUTO_AND_VEHICLES,4.3,542,33,100000,1,0,1,Auto & Vehicles,31-Jul-18,4,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,7158,AUTO_AND_VEHICLES,4.9,10479,33,100000,1,0,1,Auto & Vehicles,18-Jul-18,1.7.1,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3889,AUTO_AND_VEHICLES,4.4,805,5.6,50000,1,0,1,Auto & Vehicles,29-Jul-18,2.5.1,4.4 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3274,AUTO_AND_VEHICLES,4.2,129,54,100000,1,0,1,Auto & Vehicles,26-Jul-18,3,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6229,AUTO_AND_VEHICLES,4.0,1403,201,100000,1,0,1,Auto & Vehicles,26-Aug-14,1.0.1,2.2 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6101,AUTO_AND_VEHICLES,3.9,3971,3.6,100000,1,0,1,Auto & Vehicles,30-Jul-18,2.493,4.4 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2063,AUTO_AND_VEHICLES,4.6,534,5.7,10000,1,0,1,Auto & Vehicles,8-Jul-18,1.9.1,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1584,AUTO_AND_VEHICLES,4.9,7774,17,100000,1,0,1,Auto & Vehicles,3-Jul-18,1.7,4.2 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8017,AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,1,0,1,Auto & Vehicles,28-Jul-18,2.20 Build 02,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3735,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,1,0,1,Auto & Vehicles,12-Jun-18,1.37,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2396,AUTO_AND_VEHICLES,4.9,6090,27,100000,1,0,1,Auto & Vehicles,3-Jul-18,1.7,4.2 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1999,AUTO_AND_VEHICLES,3.9,295,2.7,10000,1,0,1,Auto & Vehicles,30-Jul-18,0.2.1,4.4 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,7414,AUTO_AND_VEHICLES,4.0,190,2.5,50000,1,0,1,Auto & Vehicles,14-Oct-16,1,2.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,7418,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000,1,0,1,Auto & Vehicles,16-Jul-18,4.47.3,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3556,AUTO_AND_VEHICLES,4.8,116986,35,5000000,1,0,1,Auto & Vehicles,2-Aug-18,1.9.7,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6363,AUTO_AND_VEHICLES,3.6,1379,16,500000,1,0,1,Auto & Vehicles,2-Aug-18,2.2.21,4.2 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,584,AUTO_AND_VEHICLES,4.2,271920,16,10000000,1,0,4,Auto & Vehicles,11-Jul-18,Varies with device,5.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,7159,AUTO_AND_VEHICLES,4.8,7021,17,500000,1,0,1,Auto & Vehicles,27-Jul-18,1.79,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,6819,AUTO_AND_VEHICLES,4.6,197,3.4,50000,1,0,1,Auto & Vehicles,14-Jun-18,1.3,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5927,AUTO_AND_VEHICLES,4.5,737,8.9,100000,1,0,1,Auto & Vehicles,8-Jun-18,2.3.5.1,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,5925,AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,1,0,2,Auto & Vehicles,4-Jul-18,1.6,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1237,AUTO_AND_VEHICLES,4.5,994,2.9,100000,1,0,1,Auto & Vehicles,27-Mar-18,1.6,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,7157,AUTO_AND_VEHICLES,4.9,197136,38,1000000,1,0,1,Auto & Vehicles,15-Jul-18,8.31,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5836,AUTO_AND_VEHICLES,3.9,142,32,50000,1,0,1,Auto & Vehicles,24-Jul-18,1.1.5.0,6.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,5728,AUTO_AND_VEHICLES,4.4,15168,37,1000000,1,0,1,Auto & Vehicles,27-Jul-18,10.0.2,4.2 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6856,AUTO_AND_VEHICLES,4.0,2155,15,500000,1,0,1,Auto & Vehicles,30-Jul-18,1.10.3,5.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,6697,AUTO_AND_VEHICLES,4.3,138,5.4,100000,1,0,1,Auto & Vehicles,23-Jul-18,1,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,7417,AUTO_AND_VEHICLES,3.7,5414,18,1000000,1,0,1,Auto & Vehicles,23-Jul-18,3.20.1,4.4 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,838,AUTO_AND_VEHICLES,4.3,348,38,100000,1,0,1,Auto & Vehicles,29-Jul-18,1.0.3,2.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6114,AUTO_AND_VEHICLES,3.2,250,1.1,100000,1,0,1,Auto & Vehicles,27-Apr-18,1.4,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6368,AUTO_AND_VEHICLES,4.5,3617,7.9,100000,1,0,1,Auto & Vehicles,16-May-18,2.8.2,4.1 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,6365,AUTO_AND_VEHICLES,3.7,4806,35,1000000,1,0,1,Auto & Vehicles,31-Jul-18,4.0.3,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,7928,AUTO_AND_VEHICLES,4.6,31433,17,1000000,1,0,1,Auto & Vehicles,2-Aug-18,1.4,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7416,AUTO_AND_VEHICLES,4.6,5097,19,1000000,1,0,1,Auto & Vehicles,23-Jul-18,1.5.18,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,540,AUTO_AND_VEHICLES,4.0,1754,14,500000,1,0,1,Auto & Vehicles,2-Jun-18,2.3.4,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,4408,AUTO_AND_VEHICLES,4.4,2680,2.2,500000,1,0,1,Auto & Vehicles,20-Mar-18,1.03,4.0.3 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3890,AUTO_AND_VEHICLES,4.0,1288,4.5,100000,1,0,1,Auto & Vehicles,21-Apr-18,2.17,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,4321,BEAUTY,4.7,18900,17,500000,1,0,1,Beauty,2-Aug-18,6.10.1,5.0 and up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8064,BEAUTY,4.9,49790,14,1000000,1,0,1,Beauty,9-Nov-17,2.3.0,4.1 and up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5431,BEAUTY,4.7,1150,9.8,100000,1,0,1,Beauty,15-May-18,4,4.1 and up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1251,BEAUTY,3.9,1739,21,500000,1,0,1,Beauty,12-Jul-18,1.0.6,4.0.3 and up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1210,BEAUTY,4.2,2225,52,500000,1,0,1,Beauty,28-Feb-18,1.6,4.1 and up,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
